doc_id	excl_mrk_num	ques_mrk_num	poin_mrk_num	ellp_mrk_num
257	1	0	93	0
258	0	0	6	0
259	1	0	117	5
260	370	148	3857	34
261	8	31	141	49
262	0	6	59	0
263	10	13	222	0
264	0	0	8	0
265	5	2	105	1
266	0	2	1103	0
267	44	61	828	2
268	240	156	2804	0
269	2	4	25	0
270	139	206	3905	1
271	6	7	87	5
272	0	4	127	1
273	1	15	341	1
274	1	0	16	1
275	5	3	227	12
276	0	3	824	0
277	2	0	909	1
278	49	144	1179	98
279	31	34	139	8
280	10	9	102	22
281	4	2	130	1
282	2	20	36	8
283	0	0	120	0
284	4	5	87	5
285	10	7	14	1
286	23	17	140	4
287	2	1	91	0
288	152	15	1021	1
289	1	2	213	0
290	1	11	149	0
291	5	15	619	1
292	21	28	122	30
293	0	0	5	0
294	8	28	81	0
295	10	58	1887	0
296	7	0	9	2
297	35	60	361	37
298	2	5	33	3
299	7	7	58	37
300	0	0	1655	3
301	209	258	4077	0
302	0	0	102	0
303	823	1015	5205	122
304	6	11	256	0
305	0	0	16	0
306	240	267	2168	552
307	0	3	126	4
308	0	6	61	0
309	0	1	120	1
310	0	5	5	0
311	0	0	60	0
312	1	11	13	1
313	34	24	408	18
314	62	203	516	4
315	2	7	27	0
316	0	2	1911	2
317	0	0	84	8
318	2	3	25	5
319	4	1	93	0
320	20	22	213	0
321	1330	1824	12207	0
322	2	0	370	0
323	2	18	662	0
324	0	35	1218	0
325	0	9	101	0
326	0	0	164	8
327	26	47	1277	0
328	0	0	220	0
329	150	46	374	25
330	0	7	37	2
331	22	11	593	6
332	9	19	82	16
333	1	16	120	5
334	29	1	109	1
335	2	0	64	0
336	4	4	18	2
337	6	10	52	2
338	29	56	601	42
339	15	3	31	2
340	4	8	57	1
341	7	2	87	2
342	9	5	100	8
343	0	1	20	1
344	0	5	222	1
345	1	9	79	0
346	1217	1196	7805	0
347	5	2	41	0
348	0	0	6	1
349	0	1	9	0
350	4	2	103	0
351	10	33	176	22
352	0	1	265	24
353	0	0	24	0
354	0	2	37	0
355	70	57	1821	11
356	18	17	203	11
357	31	28	233	26
358	59	59	1522	2
359	3	2	63	1
360	6	3	75	1
361	4	4	17	2
362	3	1	92	1
363	3	0	94	0
364	0	3	47	0
365	3	48	177	19
366	5	2	30	0
367	26	49	349	36
368	15	11	531	1
369	70	43	1473	6
370	7	5	60	5
371	2681	1210	5832	73
372	10	38	105	27
373	0	3	206	0
374	1	4	20	1
375	8	0	153	0
376	0	0	16	0
377	0	1	36	3
378	0	0	64	0
379	2	14	21	0
380	309	128	4877	645
381	60	125	1220	98
382	11	25	1785	0
383	5	13	29	0
384	2	5	37	1
385	1	0	107	0
386	5	4	55	18
387	471	418	3855	90
388	2	4	8	0
389	11	20	89	7
390	1	0	851	0
391	1852	879	3681	98
392	2	0	83	0
393	43	34	385	43
394	1	1	20	2
395	35	17	90	17
396	19	34	279	4
397	4	70	1597	4
398	143	129	1123	0
399	73	75	729	17
400	5	4	15	1
401	4	5	604	0
402	3	1	99	0
403	3	3	0	0
404	0	0	4	0
405	7	19	2128	13
406	3	14	90	1
407	2	2	172	0
408	0	0	20	0
409	20	44	304	10
410	3	4	73	0
411	16	14	301	2
412	3	3	34	10
413	8	21	89	0
414	27	35	279	34
415	1	1	1104	1
416	0	1	78	0
417	25	23	42	5
418	4	1	115	1
419	16	13	112	8
420	4	3	52	0
421	6	63	1389	1
422	3	11	88	1
423	2	1	45	0
424	44	59	619	46
425	96	187	1026	332
426	12	14	105	1
427	74	177	780	213
428	7	20	161	6
429	1	5	18	0
430	652	1709	9209	2
431	1	0	3	3
432	0	0	20	0
433	1195	269	1659	200
434	0	0	9	0
435	26	23	407	7
436	42	157	954	298
437	406	1076	8416	0
438	2	6	63	1
439	10	39	399	0
440	5	0	117	2
441	1	10	20	5
442	18	5	83	5
443	24	5	43	0
444	0	1	13	0
445	0	0	29	0
446	16	20	429	0
447	8	19	38	1
448	6	0	19	2
449	2	0	27	4
450	4	4	52	0
451	4	3	104	0
452	15	10	1025	352
453	11	18	735	1
454	249	204	1273	412
455	0	3	1361	0
456	0	4	58	18
457	3	11	61	0
458	5	7	62	15
459	12	11	55	1
460	1	22	24	0
461	280	213	1582	163
462	5	27	81	5
463	7	5	18	7
464	26	41	293	10
465	0	3	46	0
466	9	0	89	1
467	0	6	43	0
468	1	0	67	0
469	1	1	77	0
470	10	11	55	1
471	3	4	117	1
472	0	0	9	0
473	0	5	22	10
474	4	6	68	20
475	8	10	71	8
476	0	6	53	0
477	3	2	47	2
478	1	0	4	0
479	0	0	104	0
480	32	51	1310	0
481	0	1	19	0
482	22	39	355	23
483	3	4	91	8
484	24	7	132	24
485	0	0	16	0
486	0	14	93	11
487	0	0	459	0
488	0	0	159	0
489	3	0	12	6
490	3	3	82	42
491	42	126	1694	18
492	23	8	416	15
493	65	79	615	39
494	2	0	13	0
495	2	2	123	3
496	64	100	1588	25
497	0	0	68	27
498	64	100	1021	61
499	13	8	69	0
500	0	0	53	1
501	4	5	118	1
502	2	5	9	1
503	0	0	131	0
504	2	7	38	0
505	44	454	5297	329
506	4	0	179	0
507	4	8	53	10
508	5	10	50	1
509	24	11	228	0
510	4	4	105	1
511	8	10	187	0
512	19	6	256	10
513	76	176	1654	88
514	5	4	105	2
515	144	155	3849	426
516	3	5	20	2
517	32	111	838	40
518	8	0	193	0
519	2	0	61	1
520	0	0	161	0
521	1	0	22	1
522	10	4	127	4
523	14	8	125	5
524	1287	334	3065	96
525	0	0	70	0
526	271	78	2643	23
527	0	5	30	0
528	29	31	229	11
529	250	307	2856	0
530	0	17	114	1
531	32	3	170	13
532	0	1	17	0
533	1	17	109	2
534	2	0	415	0
535	1468	1521	8439	21
536	1	1	8	0
537	1	0	63	0
538	2	20	31	0
539	16	14	177	5
540	2	18	168	4
541	0	0	205	0
542	8	36	105	9
543	115	16	2273	54
544	1	1	35	0
545	1	5	23	5
546	60	56	428	44
547	1	6	41	2
548	1	2	15	0
549	29	55	268	31
550	9	4	160	5
551	27	34	299	17
552	0	1	13	0
553	3	3	12	1
554	0	0	125	8
555	204	327	2435	0
556	5	2	88	1
557	3	0	312	1
558	0	2	20	0
559	7	2	35	0
560	34	38	90	1
561	26	26	98	3
562	25	18	80	5
563	1	3	78	0
564	2	3	83	0
565	0	1	53	0
566	5	13	40	0
567	64	20	332	60
568	0	0	1	0
569	8	0	45	5
570	0	1	13	0
571	310	609	8698	56
572	419	484	4182	143
573	758	665	2442	494
574	2	0	90	1
575	0	5	23	1
576	2125	689	6034	134
577	1	1	62	0
578	0	0	50	1
579	0	18	110	0
580	12	19	41	11
581	1	0	64	2
582	0	24	418	0
583	85	50	1040	0
584	12	34	203	9
585	15	55	1401	551
586	13	9	53	5
587	1	6	205	0
588	0	0	166	3
589	1	0	11	0
590	4	87	159	18
591	1	8	145	1
592	0	0	611	0
593	32	115	425	16
594	16	5	45	4
595	400	89	814	527
596	0	0	106	0
597	29	21	487	14
598	1	4	26	0
599	12	22	175	6
600	9	4	30	4
601	74	13	150	7
602	8	21	631	0
603	1	29	1900	0
604	1	0	63	1
605	9	15	112	5
606	5	6	77	0
607	0	1	15	4
608	0	5	66	1
609	4	7	64	20
610	179	313	3827	374
611	3	4	118	1
612	3	7	81	1
613	0	1	22	0
614	0	0	174	0
615	0	2	321	0
616	3	0	1	0
617	0	0	50	0
618	2	4	28	3
619	253	461	4560	9
620	5	9	39	1
621	0	0	11	0
622	99	332	1889	159
623	7	13	115	10
624	137	195	1864	149
625	237	416	1503	205
626	10	6	53	4
627	18	49	1366	16
628	80	47	682	13
629	13	27	259	15
630	0	39	206	26
631	100	185	694	71
632	3	21	48	2
633	61	162	1057	355
634	2	26	1866	1
635	16	25	79	2
636	70	40	196	30
637	4	1	104	2
638	3	7	77	8
639	7	3	205	2
640	2	1	77	1
641	13	38	127	20
642	11	19	759	0
643	1	1	119	6
644	5	16	82	6
645	19	18	112	17
646	5	4	173	2
647	4	7	195	1
648	275	183	1020	201
649	1	4	28	0
650	0	0	0	0
651	4	2	61	0
652	10	4	69	2
653	3	12	51	3
654	1	0	110	1
655	1	0	12	0
656	0	0	3	1
657	0	6	101	0
658	44	195	205	1
659	10	23	205	7
660	0	2	110	0
661	4	62	1410	0
662	3	13	97	9
663	3	1	60	0
664	4	91	183	1
665	8	5	103	0
666	2	5	81	3
667	0	1	236	26
668	4	4	101	2
669	107	23	485	42
670	52	195	229	11
671	11	0	113	0
672	24	8	229	0
673	7	7	139	0
674	1	5	87	1
675	1	10	21	0
676	1	2	16	1
677	8	4	345	2
678	1	0	48	0
679	9	2	68	1
680	4	4	80	0
681	2	12	47	0
682	0	2	21	1
683	0	0	21	0
684	5	5	164	2
685	11	22	89	1
686	2	9	102	7
687	6	10	40	3
688	3	3	128	0
689	2	0	103	0
690	5	0	89	1
691	9	21	1926	59
692	3	1	6	0
693	0	0	1124	0
694	25	2	81	0
695	81	154	1223	81
696	0	2	106	0
697	5	1	27	0
698	1	2	4	1
699	9	5	51	0
700	0	9	612	5
701	70	157	2111	196
702	0	43	202	3
703	1	0	231	2
704	2	0	6	0
705	7	8	94	3
706	5	11	72	0
707	6	1	85	0
708	2012	708	3437	0
709	3	4	10	1
710	22	52	134	9
711	0	7	131	1
712	3	21	55	7
713	11	10	191	0
714	9	13	469	0
715	243	2253	19126	378
716	2	4	66	20
717	16	39	141	31
718	0	4	44	0
719	4	8	58	1
720	3	17	213	4
721	11	35	276	12
722	2	1	15	0
723	2	1	24	2
724	2	3	20	2
725	10	2	8	0
726	0	0	20	0
727	2	3	83	0
728	1	5	26	0
729	2	19	50	3
730	4	9	29	1
731	483	838	10516	288
732	7	2	50	1
733	16	152	1792	54
734	0	1	23	0
735	9	3	44	1
736	0	4	71	20
737	0	0	36	0
738	0	0	54	1
739	9	12	98	9
740	5	0	113	2
741	10	5	33	1
742	1	4	2	0
743	6	9	59	1
744	25	525	5476	0
745	0	1	175	0
746	1	3	40	0
747	3	16	754	21
748	47	32	301	31
749	39	148	843	238
750	0	1	18	6
751	84	170	2728	2
752	3	1	85	4
753	19	24	1733	31
754	467	1560	11354	133
755	34	19	871	5
756	34	43	349	34
757	1	1	7	0
758	17	16	73	11
759	6	3	184	0
760	60	33	98	2
761	5	0	158	0
762	2	8	124	0
763	2	0	32	12
764	20	26	149	5
765	2	1	34	0
766	1	1	798	6
767	6	14	125	2
768	8	4	62	20
769	69	274	942	31
770	0	0	25	0
771	57	171	1064	347
772	19	0	396	0
773	10	9	178	1
774	4	4	48	0
775	0	0	6	1
776	8	5	200	0
777	1	2	17	0
778	0	1	1	0
779	14	16	45	4
780	31	15	1498	35
781	0	5	67	0
782	2	9	78	0
783	1	0	31	4
784	3	5	54	16
785	0	1	48	0
786	3	10	48	1
787	29	28	638	7
788	50	123	2458	43
789	12	7	68	1
790	0	0	71	0
791	1	0	136	0
792	1	27	129	1
793	1	2	106	1
794	37	67	827	2
795	0	12	85	4
796	0	1	245	26
797	0	4	45	4
798	4	5	65	0
799	1	1	9	2
800	0	0	129	0
801	2	2	68	0
802	1	3	22	4
803	1	117	1905	4
804	8	22	374	27
805	0	6	76	0
806	3	1	132	1
807	2	1	2	0
808	3	2	62	0
809	1	4	24	1
810	2	2	30	0
811	7	2	42	8
812	34	57	1561	6
813	0	11	68	0
814	0	2	1	0
815	0	0	542	0
816	0	4	44	0
817	0	7	65	3
818	429	743	6218	0
819	1	5	62	19
820	0	1	16	0
821	26	12	587	0
822	25	3	23	9
823	535	307	1947	264
824	0	0	139	1
825	22	21	421	48
826	8	1	9	1
827	1	6	39	0
828	7	18	39	7
829	0	0	10	0
830	0	0	314	0
831	4	4	216	0
832	176	488	3194	55
833	0	1	6	0
834	22	37	1861	0
835	1	1	38	4
836	1	1	16	1
837	9	41	74	5
838	14	21	83	5
839	11	20	63	11
840	2	18	13	1
841	7	5	227	1
842	3	9	16	3
843	1	1	207	0
844	12	15	83	7
845	6	23	91	0
846	0	0	28	6
847	2	3	11	0
848	34	44	338	50
849	1	5	62	19
850	4	15	96	1
851	0	0	37	1
852	6	3	10	2
853	4	34	81	7
854	31	37	2878	0
855	0	4	78	19
856	2	26	951	20
857	8	4	43	0
858	0	0	318	0
859	2	5	634	0
860	8	14	48	2
861	1	2	9	4
862	0	2	47	0
863	1	2	54	0
864	0	0	188	0
865	0	0	119	0
866	0	0	373	0
867	44	278	3725	12
868	2	0	7	2
869	16	59	152	0
870	39	147	853	241
871	9	23	120	7
872	1	4	34	0
873	22	7	186	0
874	8	1	84	0
875	1	2	2005	0
876	266	661	4932	82
877	4	10	25	2
878	1	0	59	0
879	0	3	28	0
880	1	3	30	3
881	16	28	487	3
882	113	189	1138	1
883	1	6	61	0
884	4	1	56	0
885	4	22	220	1
886	48	54	410	29
887	69	168	1029	311
888	4	37	49	1
889	3	1	25	1
890	65	10	470	15
891	1	12	987	0
892	2	4	2090	0
893	56	120	2499	163
894	18	8	280	0
895	7	6	95	1
896	0	0	18	1
897	0	6	66	20
898	0	0	247	0
899	24	128	1402	59
900	15	7	77	9
901	5	1	36	10
902	0	6	50	2
903	1	5	40	0
904	5	19	99	4
905	151	422	3492	0
906	13	10	117	0
907	9	11	65	0
908	40	26	1978	1
909	9	1	13	0
910	3	12	135	30
911	0	2	205	0
912	5	0	31	19
913	4	16	63	6
914	1	0	356	2
915	0	4	62	20
916	23	32	133	14
917	17	8	423	1
918	1	1	22	0
919	704	551	3991	243
920	1	7	69	13
921	10	19	695	0
922	7	0	54	3
923	2	2	2525	1
924	3	8	61	15
925	22	5	48	5
926	1	9	96	0
927	0	4	18	1
928	1	0	20	0
929	5	8	53	14
930	1	0	6	6
931	0	1	69	0
932	1	2	59	1
933	7	0	35	25
934	0	4	61	20
935	86	95	657	0
936	0	0	292	0
937	1	7	166	1
938	1	8	15	0
939	5	40	109	21
940	1	1	44	0
941	0	26	40	1
942	0	0	55	2
943	12	1	84	1
944	21	149	2822	1
945	0	16	43	0
946	14	17	368	0
947	0	0	343	0
948	7	0	5765	9
949	19	23	279	20
950	1	13	53	7
951	1	6	44	5
952	64	315	2717	2
953	12	8	186	4
954	0	3	57	0
955	0	6	115	29
956	2	0	104	0
957	45	3	483	15
958	6	20	106	0
959	15	0	32	0
960	2	19	6	1
961	0	11	96	0
962	52	35	261	1
963	50	19	801	0
964	4	9	29	1
965	29	70	1986	4
966	19	12	87	7
967	1	1	1	0
968	9	15	6053	58
969	0	1	14	0
970	50	1	100	0
971	6	1	15	0
972	0	0	341	0
973	7	2	27	7
974	0	17	51	0
975	2	12	16	1
976	6	4	63	20
977	0	3	85	0
978	38	414	4338	0
979	1	0	64	0
980	0	3	5	1
981	5	5	353	0
982	0	11	46	1
983	0	0	34	0
984	2	9	34	1
985	4	4	11	1
986	0	0	5	1
987	5	4	101	3
988	0	10	113	2
989	0	0	7	0
990	5	25	140	0
991	13	0	138	23
992	2	26	102	20
993	8	8	43	2
994	1	0	156	7
995	10	45	7097	124
996	0	8	57	0
997	100	50	451	57
998	4	9	22	0
999	1	0	2	0
1000	1	16	57	8
1001	18	38	262	11
1002	33	37	200	0
1003	2	1	136	0
1004	1	1	92	2
1005	5	3	76	7
1006	1	11	33	1
1007	1	12	65	7
1008	0	3	8	0
1009	4	0	128	2
1010	0	5	64	19
1011	12	7	81	7
1012	13	19	65	5
1013	2	1	73	0
1014	3	2	81	2
1015	0	1	27	0
1016	1	0	13	0
1017	10	13	137	25
1018	1	0	36	0
1019	0	0	145	11
1020	1	2	32	0
1021	5	1	158	8
1022	1	3	11	0
1023	0	6	33	0
1024	5	13	105	8
1025	0	0	312	2
1026	6	34	67	0
1027	9	31	243	15
1028	3	2	14	0
1029	21	13	161	12
1030	4	142	1805	1
1031	0	0	66	17
1032	23	38	2258	0
1033	1	0	88	0
1034	1	0	352	0
1035	4	0	14	1
1036	12	1	53	3
1037	3	29	226	0
1038	2	3	14	1
1039	5	3	73	0
1040	0	3	33	0
1041	0	0	179	0
1042	35	54	289	36
1043	1	0	1	0
1044	450	355	6900	65
1045	436	747	6242	5
1046	5	0	15	0
1047	2	1	8	0
1048	1	1	31	0
1049	2	1	66	1
1050	1	0	30	3
1051	3	12	51	3
1052	6	3	39	0
1053	8	20	138	12
1054	1	1	55	0
1055	32	37	862	0
1056	1	2	69	1
1057	5	47	147	0
1058	3	11	19	6
1059	0	0	21	0
1060	80	180	759	114
1061	1	14	22	0
1062	2	8	198	23
1063	2	2	397	0
1064	6	4	182	1
1065	0	1	81	0
1066	0	0	10	0
1067	1	0	9	0
1068	0	8	27	0
1069	7	9	129	0
1070	641	604	3949	73
1071	4	41	303	17
1072	0	3	22	2
1073	0	1	30	0
1074	0	0	121	4
1075	0	1	70	0
1076	46	134	836	241
1077	5	10	391	2
1078	2	7	72	19
1079	507	387	6080	409
1080	7	2	179	0
1081	0	0	33	4
1082	0	2	886	1
1083	1	3	48	0
1084	1	4	160	2
1085	0	0	607	2
1086	4	3	100	1
1087	80	388	3807	12
1088	1	6	22	2
1089	1976	1086	7894	514
1090	9	5	79	0
1091	1	2	70	24
1092	9	4	30	2
1093	4	4	49	0
1094	1	1	828	0
1095	0	3	48	0
1096	1	4	60	19
1097	1	0	17	0
1098	4	10	24	1
1099	2	21	64	3
1100	14	5	407	19
1101	0	4	113	1
1102	0	13	1926	1
1103	1	0	325	0
1104	26	111	368	65
1105	4	18	189	15
1106	8	0	48	3
1107	6	5	78	2
1108	2	4	192	0
1109	3	3	78	0
1110	1	0	28	0
1111	711	405	2022	333
1112	2	1	9	0
1113	37	1	47	2
1114	7	3	190	7
1115	0	1	75	0
1116	0	20	37	1
1117	0	1	5	0
1118	27	62	1252	11
1119	9	11	107	41
1120	3	5	17	1
1121	1	8	54	1
1122	1	0	11	2
1123	10	15	114	0
1124	2	1	16	1
1125	6	3	103	10
1126	25	326	3486	10
1127	32	10	120	9
1128	21	2	3358	0
1129	5	20	434	0
1130	3	8	40	3
1131	1269	236	241	7
1132	3	1	19	0
1133	1	3	17	0
1134	18	28	95	2
1135	1	1	13	0
1136	4	2	78	1
1137	0	0	51	1
1138	36	210	3350	27
1139	0	4	57	0
1140	5	0	4	0
1141	1	4	81	1
1142	3	11	70	3
1143	30	10	249	0
1144	536	472	5566	78
1145	1703	1125	5229	468
1146	48	22	261	29
1147	4	3	55	0
1148	0	3	75	0
1149	5	69	275	22
1150	1	5	18	2
1151	331	102	895	1
1152	3	2	28	1
1153	35	40	280	0
1154	6	0	359	0
1155	2	15	58	7
1156	3	4	343	4
1157	1	0	73	15
1158	1	13	88	11
1159	0	0	67	0
1160	6	1	50	4
1161	0	1	613	2
1162	0	0	16	3
1163	6	2	88	2
1164	0	9	44	5
1165	0	1	143	0
1166	5	0	13	0
1167	18	12	86	7
1168	22	86	490	74
1169	2	3	281	1
1170	58	162	2001	4
1171	6	13	110	1
1172	77	287	3292	8
1173	0	22	40	0
1174	0	0	37	4
1175	2	2	2	0
1176	2	29	1231	0
1177	66	81	1994	2
1178	0	1	14	0
1179	1	1	10	0
1180	6	2	157	0
1181	1	2	44	1
1182	3	1	5	0
1183	2	2	50	0
1184	7	14	25	2
1185	2	6	18	3
1186	0	4	183	1
1187	4	9	38	0
1188	0	0	2060	0
1189	1	3	638	1
1190	0	0	17	4
1191	61	77	272	18
1192	3	1	22	0
1193	5	4	187	2
1194	0	0	46	4
1195	3	9	178	9
1196	0	1	162	0
1197	784	18	896	13
1198	24	125	2624	3
1199	4	5	34	0
1200	0	0	13	9
1201	15	10	172	0
1202	0	1	67	0
1203	28	9	367	22
1204	8	5	49	5
1205	0	0	282	0
1206	47	50	581	9
1207	0	4	386	1
1208	72	180	178	1
1209	350	71	2133	161
1210	5	69	1006	5
1211	5	15	69	8
1212	1	0	1659	0
1213	0	3	149	4
1214	74	117	3188	48
1215	47	458	1977	52
1216	9	4	52	0
1217	0	0	13	0
1218	1	1	60	0
1219	0	0	9	0
1220	0	1	89	11
1221	4	1	52	0
1222	0	0	414	100
1223	1	0	8	3
1224	2	12	92	4
1225	1459	1111	5303	324
1226	761	354	5382	310
1227	3	4	63	0
1228	6	13	38	0
1229	4	15	78	1
1230	2	8	33	0
1231	26	36	213	0
1232	4	0	94	3
1233	5	3	25	1
1234	4	5	142	4
1235	34	56	293	22
1236	159	235	1193	83
1237	18	28	3111	12
1238	38	405	3768	27
1239	1632	1383	8392	235
1240	7	13	104	2
1241	22	5	312	2
1242	8	29	25	4
1243	1	1	29	0
1244	3	6	15	2
1245	3	11	45	0
1246	1	8	13	3
1247	43	143	1509	125
1248	2	1	152	0
1249	6	10	181	4
1250	2	0	18	0
1251	1	37	576	2
1252	0	0	3481	0
1253	3	5	114	1
1254	0	3	132	1
1255	17	144	736	56
1256	0	4	2020	2
1257	14	27	656	0
1258	430	998	5879	0
1259	6	6	30	1
1260	5	15	249	3
1261	211	326	714	1
1262	21	13	72	5
1263	0	1	183	2
1264	3	4	20	1
1265	1492	848	6742	1266
1266	152	93	622	45
1267	7	0	47	15
1268	1	0	94	1
1269	1	39	1425	0
1270	8	22	119	6
1271	5	25	74	4
1272	6	4	61	20
1273	0	4	171	0
1274	1	0	92	0
1275	13	1	33	0
1276	469	444	3175	1
1277	1	0	1	0
1278	3	2	72	0
1279	147	262	3917	114
1280	0	5	198	6
1281	0	2	104	0
1282	29	17	332	1
1283	3	15	68	5
1284	5	13	1664	0
1285	4	1	18	1
1286	5	0	52	0
1287	23	36	291	11
1288	0	1	41	1
1289	771	388	3644	0
1290	9	14	949	14
1291	5	3	108	0
1292	100	66	348	0
1293	0	0	10	0
1294	0	0	420	0
1295	17	45	369	36
1296	275	164	3461	36
1297	0	1	89	4
1298	1	3	40	1
1299	6	15	251	0
1300	5	3	46	0
1301	5	4	51	5
1302	1	0	26	0
1303	0	0	130	0
1304	2	2	537	0
1305	0	0	3	0
1306	0	0	41	0
1307	2	0	19	0
1308	25	31	237	0
1309	27	56	322	25
1310	308	436	3894	18
1311	0	4	11	1
1312	0	7	86	0
1313	35	118	777	226
1314	6	4	64	20
1315	1	0	4	0
1316	1	8	59	0
1317	4	8	59	0
1318	1	2	367	0
1319	176	127	816	215
1320	0	2	33	0
1321	0	4	72	0
1322	0	0	18	0
1323	3	1	17	1
1324	3	2	35	0
1325	2	1	74	0
1326	8	6	63	0
1327	1	0	6503	1
1328	62	258	1828	1
1329	3	0	53	0
1330	5	4	1025	7
1331	3	7	89	1
1332	19	22	133	17
1333	0	0	1064	0
1334	0	5	70	20
